Program/ Project Label,Program GEF_ID,Project GEF_ID,Projects In Common with the MFA portfolio,Projects In Common with the Biodiversity Portfolio,ProjectsIn Common with the Land Degradation portfolio,Agency,Lead agency,Secondary agency(ies),Region,Parent (Program) Geographic level,Country,List of participating countries,Focal Area,List of project's focal areas,Title,GEF replenishment phase,Type acronym,Status,Trust Fund acronym,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF project grant at CEO approve/endorse stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,GEF Project Grant_FINAL,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Agency Fee_Final,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Cofinance_FINAL,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,PFD,PFD available in PMIS,PIR Status,MTRStatus,TTStatus,TEStatus,TERStatus
J2,4511,4907,Err:512,Err:512,4907,World Bank,World Bank,,AFR,,Nigeria,,Multi Focal Area,M;B;C;L;M;,GGW: Nigeria Erosion and Watershed Management Project (NEWMAP),GEF - 5,FP,Under Implementation,MTF,Federal Ministry of Environment (with State ministries of environment and partner government agencies in up to 11 states),Government,PAS,Child,,,,CCA-1; CCA-1; CCA-2; LD-3; BD-2; SFM/REDD+-1; ,,,,0 ,,,,,,,,"8,592,593 ","8,592,593 ",,"8,592,593 ","8,592,593 ","687,407 ",,"687,407 ","687,407 ","500,000,000 ",,"500,000,000 ","500,000,000 ",26-Mar-12,26-May-11,26-May-11,26-May-11,26-May-11,,12-Apr-12,,,,,,,,,,,,16-Apr-13,30-Jun-20,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J3,4511,4908,Err:512,Err:512,4908,World Bank,World Bank,,AFR,,Chad,,Multi Focal Area,M;B;C;L;M;,GGW: Agriculture Production Support Project (with Sustainable Land and Water Management),GEF - 5,FP,Under Implementation,MTF,Ministry of Ministry of Agriculture and Irrigation  Ministry of Environment and Fisheries  ,Government,PAS,Child,,,,LD-3; CCA-1; BD-2; SFM/REDD+-1; ,,,,0 ,,,,,,,,"9,259,259 ","9,259,259 ",,"9,259,259 ","9,259,259 ","740,741 ",,"740,741 ","740,741 ","102,250,000 ",,"102,250,000 ","102,250,000 ",26-Mar-12,26-May-11,26-May-11,26-May-11,26-May-11,,12-Apr-12,,,,,,,,,,,,10-Jan-13,31-Dec-16,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J4,4511,5187,Err:512,Err:512,5187,World Bank,World Bank,,AFR,,Burkina Faso,,Multi Focal Area,M;B;C;L;M;,GGW: Community based Rural Development Project 3rd Phase with Sustainable Land and Forestry Management,GEF - 5,FP,Under Implementation,GET,Ministry of Agriculture   Ministry of Environment    ,Government,PAS,Child,,,,LD-3; CCM-5; BD-1; BD-2; SFM/REDD+-1; ,,,,0 ,,,,,,,,"7,407,408 ","7,407,408 ",,"7,407,408 ","7,407,408 ","592,592 ",,"592,592 ","592,592 ","97,350,000 ",,"97,350,000 ","97,350,000 ",18-Oct-12,,,26-May-11,26-May-11,,21-Nov-12,,,,,,,,20-Dec-12,,,,21-Jun-13,31-May-18,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J5,4511,5215,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Benin,,Multi Focal Area,M;B;L;M;,GGW: Forests and Adjacent Lands Management Project,GEF - 5,FP,Under Implementation,GET,Government of Benin Ministry of Environment Habitat and Urban,Government,PAS,Child,,,,LD-2; SFM/REDD+-1; BD-1; LD-3; ,,,,0 ,,,,,,,,"5,555,556 ","5,555,556 ",,"5,555,556 ","5,555,556 ","444,444 ",,"444,444 ","444,444 ","46,450,000 ",,"46,450,000 ","46,450,000 ",28-Nov-12,,,26-May-11,26-May-11,,30-Jan-13,,,,,,,,14-Mar-13,,,,28-Oct-13,,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J6,4511,5220,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Ethiopia,,Multi Focal Area,M;B;C;L;M;,PSG: Sustainable Land Management Project 2,GEF - 5,FP,Under Implementation,MTF,Ministry of Agriculture,Government,PAS,Child,,,,BD-2; LD-3; CCM-5; SFM/REDD+-1; CCA-1; CCA-1; CCA-2; ,,,,0 ,,,,,,,,"12,962,963 ","12,962,963 ",,"12,962,963 ","12,962,963 ","1,037,037 ",,"1,037,037 ","1,037,037 ","94,655,517 ",,"94,655,517 ","94,655,517 ",12-Dec-12,,,26-May-11,26-May-11,,29-Oct-13,,,,,,,,22-Nov-13,,,,7-Apr-14,7-Apr-19,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J7,4511,5221,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Ghana,,Multi Focal Area,M;B;C;L;M;,PSG-Additional financing - Sustainable Land and Water Management Project,GEF - 5,FP,Under Implementation,GET,National Government of Ghana,Government,PAS,Child,,,,BD-1; LD-3; CCM-5; SFM/REDD+-1; ,,,,0 ,,,,,,,,"8,750,000 ","8,750,000 ",,"8,750,000 ","8,750,000 ","700,000 ",,"700,000 ","700,000 ","59,500,000 ",,"59,500,000 ","59,500,000 ",12-Dec-12,,,26-May-11,26-May-11,,22-Apr-14,,,,,,,,,,,,9-Mar-10,,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J8,4511,5252,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Niger,,Multi Focal Area,M;B;C;L;M;,GGW: Third Phase of the Community Action Program,GEF - 5,FP,Under Implementation,GET,Ministry of Agriculture,Government,PAS,Child,,,,LD-1; LD-3; BD-1; BD-2; SFM/REDD+-1; CCM-5; ,,,,0 ,,,,,,,,"4,518,518 ","4,518,518 ",,"4,518,518 ","4,518,518 ","361,481 ",,"361,481 ","361,481 ","43,652,000 ",,"43,652,000 ","43,652,000 ",10-Jan-13,,,26-May-11,26-May-11,,23-Apr-13,,,,,,,,24-May-13,,,,7-Jun-13,22-Dec-17,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J9,4511,5270,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Mali,,Multi Focal Area,M;B;C;L;M;,GGW Natural Resources Management in a Changing Climate in Mali ,GEF - 5,FP,Under Implementation,MTF,Agence de l'Environnement et du  Développement Durable (AEDD),Government,PAS,Child,,,,LD-3; BD-2; CCM-5; SFM/REDD+-1; CCA-2; ,,,,0 ,,,,,,,,"8,425,926 ","8,425,926 ",,"8,425,926 ","8,425,926 ","674,074 ",,"674,074 ","674,074 ","13,000,000 ",,"13,000,000 ","13,000,000 ",30-Jan-13,,,26-May-11,26-May-11,,29-Oct-13,,,,,,,,6-Dec-13,,,,24-Mar-14,30-Sep-19,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J10,4511,5423,Err:512,Err:512,Err:512,World Bank,World Bank,,REG,,Regional,,Multi Focal Area,M;C;L;,"GGW: Building Resilience Through Innovation, Communication and Knowledge Services (BRICKS) Project",GEF - 5,FP,Under Implementation,GET,Permanent Interstate Committee for Drought Control in the Sahel CILSS Sahel and Sahara Observatory OSS and the International Union for Conservation of Nature IUCN West Africa Office,Government,PAS,Child,,,,LD-3; LD-4; CCM-5; ,,,,0 ,,,,,,,,"4,629,630 ","4,629,630 ",,"4,629,630 ","4,629,630 ","370,370 ",,"370,370 ","370,370 ","10,000,000 ",,"10,000,000 ","10,000,000 ",1-May-13,,,26-May-11,26-May-11,,10-May-13,,,,,,,,4-Sep-13,,,,26-Nov-13,30-Jun-19,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J11,4511,5449,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Senegal,,Multi Focal Area,M;C;L;M;,PSG- Sustainable and Inclusive Agribusiness  Development Project ,GEF - 5,FP,Under Implementation,GET,SAED (Societe d’Amenagement des Eaux du Delta du Senegal    APIX (Agence de promotion des Investissements et des Grands Travaux  The National Great Green Wall Agency   The horticulture cluster of the Accelerated Growth Strategy  The Gaston Berger University UGB   ,Government,PAS,Child,,,,CCM-5; LD-3; SFM/REDD+-1; ,,,,0 ,,,,,,,,"6,018,519 ","6,018,519 ",,"6,018,519 ","6,018,519 ","481,481 ",,"481,481 ","481,481 ","80,000,000 ",,"80,000,000 ","80,000,000 ",30-May-13,,,26-May-11,26-May-11,,8-Nov-13,,,,,,,,19-Dec-13,,,,26-Jun-14,31-Dec-19,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J12,4511,5619,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Sudan,,Multi Focal Area,M;B;L;M;,GGW Sudan Sustainable Natural Resources Management Project SSNRMP,GEF - 5,FP,Under Implementation,GET,Ministry of Environment,Government,PAS,Child,,,,LD-3; BD-1; BD-2; SFM/REDD+-1; ,,,,0 ,,,,,,,,"7,731,481 ","7,731,481 ",,"7,731,481 ","7,731,481 ","618,519 ",,"618,519 ","618,519 ","25,680,000 ",,"25,680,000 ","25,680,000 ",10-Oct-13,,,26-May-11,26-May-11,,13-Nov-13,,,,,,,,18-Dec-13,,,,12-May-14,30-Jun-19,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
J13,4511,5792,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Mauritania,,Multi Focal Area,M;B;L;M;,"GGW - Mauritania Sustainable Land, Water and Forest Management",GEF - 5,FP,IA Approved,GET,,,PAS,Child,,,,BD-2; LD-3; SFM/REDD+-1; ,,,,0 ,,,,,,,,"4,810,000 ","4,810,000 ",,"4,810,000 ","4,810,000 ","384,800 ",,"384,800 ","384,800 ","19,200,000 ",,"19,200,000 ","19,200,000 ",3-Apr-14,,,26-May-11,,,12-May-15,,,,,,,,4-Aug-15,,,,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A
K,4620,4620,Err:512,Err:512,Err:512,World Bank,World Bank,,REG,Regional,Regional,"Algeria, Egypt, Jordan, Morocco",Multi Focal Area,M;B;C;L;,MENA - Desert Ecosystems and Livelihoods Program MENA-DELP) ,GEF - 5,FP,Council Approved,MTF,"Algeria: Ministry of Land Planning and Environment (MATE), Egypt: Egyptian Environmental Affairs Agency, Jordan: Component 1: (i) for rangeland rehabilitation activities: NCARE in collaboration with the Ministry of Agriculture and the Ministry of Water an",Government,PAS,Parent,,,,LD-1; BD-2; CCM-3; CCA-1; ,,,,0 ,,,,,,,,"21,200,928 ",0 ,,,"21,200,928 ","1,696,072 ",,,"1,696,072 ","226,200,000 ",,,"226,200,000 ",30-Aug-11,28-Oct-11,1-Nov-11,9-Nov-11,9-Nov-11,,,,,,,,,,,,,,,,,,,,,,9-Nov-11,,,,,submitted,Yes,N/A,N/A,N/A,N/A,N/A
K1,4620,5026,Err:512,Err:512,5026,World Bank,World Bank,,Asia,,Jordan,,Multi Focal Area,M;B;C;L;,MENA: Badia Ecosystem and Livelihoods Project (BELP),GEF - 5,FP,Under Implementation,GET,National Center for Agricultural Research and Extension (NCARE),Government,PAS,Child,,,,BD-2; LD-1; ,,,,0 ,,,,,,,,"3,330,555 ","3,330,555 ",,"3,330,555 ","3,330,555 ","266,445 ",,"266,445 ","266,445 ","11,348,000 ",,"11,348,000 ","11,348,000 ",19-Jun-12,,,9-Nov-11,9-Nov-11,,31-Jul-12,,,,,,,,27-Nov-12,,,,28-Mar-13,30-Jun-17,,,,,,,,,,,15-Feb-15,,,Submitted,N/A,N/A,N/A,N/A
K2,4620,5186,Err:512,Err:512,5186,World Bank,World Bank,,REG,,Regional,"Algeria, Egypt, Jordan, Morocco, Tunisia",Land Degradation,L,MENA: Desert Ecosystems and Livelihoods Knowledge Sharing and Coordination Project,GEF - 5,MSP,Under Implementation,GET,MENA Desert Ecosystems and Livelihoods Program MENA DELP,Government,PAS,Child,,,,LD-3; ,,,,0 ,,,,,,,,"1,000,000 ","1,000,000 ","1,000,000 ",,"1,000,000 ","80,000 ","80,000 ",,"80,000 ","487,500 ","487,500 ",,"487,500 ",18-Oct-12,,,,30-Nov-12,30-Nov-12,,,,,,,,,23-May-13,,,,10-Jun-13,31-Dec-17,,,,,,,,,,,12-Jun-15,,,Submitted,N/A,N/A,N/A,N/A
K3,4620,5292,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Morocco,"Algeria, Egypt, Jordan, Morocco",Multi Focal Area,M;B;L;,MENA: Morocco GEF Social and Integrated Agriculture (ASIMA),GEF - 5,FP,Under Implementation,GET,Government,Government,PAS,Child,,,,LD-1; BD-2; ,,,,0 ,,,,,,,,"6,440,000 ","6,440,000 ",,"6,440,000 ","6,440,000 ","515,200 ",,"515,200 ","515,200 ","35,540,000 ",,"35,540,000 ","35,540,000 ",8-Feb-13,,,9-Nov-11,9-Nov-11,,11-Feb-13,,,,,,,,12-Mar-13,,,,14-Aug-13,31-Dec-17,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
L,4635,4635,Err:512,Err:512,Err:512,World Bank,World Bank,,Asia,Regional,Regional,"China, Indonesia, Philippines, Vietnam",Multi Focal Area,M;B;I;,LME-EA Scaling Up Partnership Investments for Sustainable Development of the Large Marine Ecosystems of East Asia and their Coasts (PROGRAM),GEF - 5,FP,Council Approved,GET,PEMSEA for the Knowledge Management Project; the University of Queensland for CCRES,Multilateral,PAS,Parent,,,,IW-2; IW-2; IW-2; IW-3; IW-3; IW-3; BD-1; BD-1; BD-2; BD-2; BD-5; ,,,,"387,000 ","387,000 ",,,,,,,"43,500,000 ",0 ,,,"43,500,000 ","3,480,000 ",,,"3,480,000 ","753,500,000 ",,,"753,500,000 ",2-Sep-11,21-Sep-11,1-Nov-11,9-Nov-11,9-Nov-11,,,,,,,,,,,,,,,,,,,,,,9-Nov-11,,,,,submitted,Yes,N/A,N/A,N/A,N/A,N/A
L1,4635,4659,4659,Err:512,Err:512,World Bank,World Bank,,Asia,,Vietnam,,Multi Focal Area,M;B;I;,"LME-EA: Coastal Resources for Sustainable Development: Mainstreaming the Application of Marine Spatial Planning Strategies, Biodiversity Conservation and Sustainable Use",GEF - 5,FP,Under Implementation,GET,Vietnam Ministry of Agriculture and Rural Development (MARD),Government,PAS,Child,,,,BD-1; BD-2; IW-2; ,,,,0 ,,,,,,,,"6,500,000 ","6,500,000 ",,"6,500,000 ","6,500,000 ","520,000 ",,"520,000 ","520,000 ","117,900,000 ",,"117,900,000 ","117,900,000 ",9-Sep-11,,,9-Nov-11,9-Nov-11,,20-Feb-13,,,,,,,,29-Mar-13,,,,2-May-13,31-Jan-18,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
L2,4635,4690,Err:512,Err:512,Err:512,World Bank,World Bank,,Asia,,Regional,"Indonesia, Philippines",International Waters,I,Capturing Coral Reef and Related Ecosystem Services (CCRES),GEF - 5,FP,Under Implementation,GET,"The University of Queensland,  Australia; TheMarine Science  Institute, Univ. of The  Philippines, The Philippines",Institute,PAS,Child,,,,IW-3; IW-3; IW-3; ,,,,0 ,,,,,,,,"4,500,000 ","4,500,000 ",,"4,500,000 ","4,500,000 ","360,000 ",,"360,000 ","360,000 ","27,810,000 ",,"27,810,000 ","27,810,000 ",23-Sep-11,,,9-Nov-11,9-Nov-11,,19-Aug-13,,,,,,,,30-Sep-13,,,,6-Nov-13,31-Dec-18,,,,,,,,,,3-Oct-16,,,,Submitted,N/A,N/A,N/A,N/A
L3,4635,5110,Err:512,Err:512,Err:512,World Bank,World Bank,,Asia,,Regional,"China, Indonesia, Philippines, Vietnam",International Waters,I,LME-EA: Applying Knowledge Management to Scale up Partnership Investments for Sustainable Development of Large Marine Ecosystems of East Asia and their Coasts,GEF - 5,MSP,Under Implementation,GET,Partnerships in Environmental Management for the Seas of East Asia (PEMSEA),Multilateral,PAS,Child,,,,IW-1; ,,,,0 ,,,,,,,,"1,000,000 ","1,000,000 ","1,000,000 ",,"1,000,000 ","80,000 ","80,000 ",,"80,000 ","1,245,250 ","1,245,250 ",,"1,245,250 ",31-Aug-12,,,,24-Apr-13,24-Apr-13,,,,,,,,,30-Sep-13,,,,2-Dec-13,31-Aug-16,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
L4,4635,5281,5281,Err:512,Err:512,World Bank,World Bank,,Asia,,Philippines,,Multi Focal Area,M;B;I;,LME-EA Philippine Rural Development Program,GEF - 5,FP,CEO Endorsed,GET,Department of Agriculture,Government,PAS,Child,,,,BD-1; BD-2; IW-2; ,,,,0 ,,,,,,,,"7,000,000 ","7,000,000 ",,"7,000,000 ","7,000,000 ","560,000 ",,"560,000 ","560,000 ","648,340,000 ",,"648,340,000 ","648,340,000 ",7-Feb-13,,,9-Nov-11,9-Nov-11,,9-Jul-14,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,Pipeline,N/A,N/A,N/A,N/A
L5,4635,5408,Err:512,Err:512,Err:512,World Bank,World Bank,,Asia,,Regional,"China, Indonesia, Philippines, Vietnam",International Waters,I,LME-EA: Applying Knowledge Management to Scale up Partnership Investments for Sustainable Development of Large Marine Ecosystems of East Asia and their Coasts,GEF - 5,MSP,Pending,GET,Partnerships in Environmental Management for the Seas of East Asia (PEMSEA),Multilateral,PAS,Child,,,,,,,,0 ,,,,,,,,0 ,0 ,,,0 ,"80,000 ","80,000 ",,"80,000 ",,,,,12-Apr-13,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,
L6,4635,5452,Err:512,Err:512,Err:512,World Bank,World Bank,,Asia,,China,,International Waters,I,Guangdong Agricultural Pollution Control ,GEF - 5,FP,Under Implementation,GET,,,PAS,Child,,,,IW-2; ,,,,0 ,,,,,,,,"5,100,000 ","5,100,000 ",,"5,100,000 ","5,100,000 ","408,000 ",,"408,000 ","408,000 ","208,200,000 ",,"208,200,000 ","208,200,000 ",10-Jun-13,,,9-Nov-11,9-Nov-11,,13-Aug-13,,,,,,,,27-Dec-13,,,,23-May-14,31-Dec-19,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
L7,4635,5622,5622,Err:512,Err:512,World Bank,World Bank,,Asia,,Indonesia,,Multi Focal Area,M;B;I;,LME-EA Coral Triangle Initiative Project (COREMAPIII-CTI),GEF - 5,FP,Under Implementation,GET,Ministry of Marine Affairs and Fisheries; LIPI,Government,PAS,Child,,,,BD-1; BD-2; IW-2; ,,,,0 ,,,,,,,,"10,000,000 ","10,000,000 ",,"10,000,000 ","10,000,000 ","800,000 ",,"800,000 ","800,000 ","46,180,000 ",,"46,180,000 ","46,180,000 ",21-Oct-13,,6-Jun-13,9-Nov-11,9-Nov-11,,23-Dec-13,,,,,,,,21-Feb-14,,,,5-Jun-14,30-Jun-19,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,
M,4646,4646,Err:512,Err:512,Err:512,"UNDP, FAO",UNDP,FAO,Asia,Country,China,,Biodiversity,B,CBPF-MSL Main Streams of Life – Wetland PA System Strengthening for Biodiversity Conservation (PROGRAM)  ,GEF - 5,FP,Council Approved,GET,"State Forestry Administration, Anhui Province, Hainan Province, Heilongjiang province, Hubei Province, Inner Mongolia Autonomous Region , Jiangxi Province, Xinjiang Autonomous Region",Government,PAS,Parent,,,,BD-1; BD-1; BD-1; ,,,,"710,633 ",,,,,,,,"23,010,915 ",0 ,,,"23,010,915 ","2,070,983 ",,,"2,070,983 ","142,600,000 ",,,"142,600,000 ",7-Sep-11,20-Sep-11,1-Nov-11,9-Nov-11,9-Nov-11,,,,,,,,,,,,,,,,,,,,,,9-Nov-11,,,,,submitted,Yes,N/A,N/A,N/A,N/A,N/A
M1,4646,4653,Err:512,4653,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF-MSL: Strengthening the Management Effectiveness of the Protected Area Landscape in Altai Mountains and Wetlands,GEF - 5,FP,Under Implementation,GET,"Xinjiang Forestry Department, Liangheyuan Provincial Nature Reserve Management Bureau,Altai Mountains Forestry Bureau",Government,PAS,Child,,,,BD-1; BD-1; BD-1; ,,,,"70,000 ","70,000 ",,,,,"6,300 ",,"3,544,679 ","3,544,679 ",,"3,544,679 ","3,544,679 ","319,021 ",,"319,021 ","319,021 ","22,000,000 ",,"22,000,000 ","22,000,000 ",8-Sep-11,24-Oct-11,1-Feb-12,29-Feb-12,29-Feb-12,,24-Sep-13,,,,,,,,,,,,7-Feb-13,,N/A,,,,,,,,,,31-Dec-17,,,Submitted 2015 PIR,N/A,N/A,N/A,N/A
M2,4646,4655,Err:512,4655,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF-MSL: Strengthening the Management Effectiveness of the Sub-system of Wetland Protected Areas for Conservation of Globally Significant Biodiversity ,GEF - 5,FP,Under Implementation,GET,State Forestry Administration (SFA),Government,PAS,Child,,,,BD-1; BD-1; BD-1; ,,,,"70,000 ","70,000 ",,,,,"6,300 ",,"2,654,771 ","2,654,771 ",,"2,654,771 ","2,654,771 ","238,929 ",,"238,929 ","238,929 ","16,800,000 ",,"16,800,000 ","16,800,000 ",8-Sep-11,16-Sep-11,1-Nov-11,10-Nov-11,10-Nov-11,,3-Jul-13,,,,,,,,,,,,25-Sep-13,,N/A,,,,,,,,,,31-Dec-17,,,Submitted 2015 PIR,N/A,N/A,N/A,N/A
M3,4646,4662,Err:512,Err:512,Err:512,FAO,FAO,,Asia,,China,,Biodiversity,B,CBPF-MSL: Piloting Provincial-level Wetland Protected Area System in Jiangxi Province,GEF - 5,FP,CEO Endorsed,GET,Forestry Department of Jiangxi Province,Government,PAS,Child,,,,BD-1; ,,,,"133,018 ","133,018 ",,,,,"11,972 ",,"5,289,000 ","5,289,000 ",,"5,289,000 ","5,289,000 ","476,010 ",,"476,010 ","476,010 ","26,600,000 ",,"26,692,000 ","26,692,000 ",12-Sep-11,16-Apr-12,7-Jun-12,7-Jun-12,7-Jun-12,,5-Sep-14,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A
M4,4646,4811,Err:512,Err:512,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF-MSL: Strengthening the Management Effectiveness of the Wetland Protected Area System in Hainan for Conservation of Globally Significant Biodiversity,GEF - 5,FP,Under Implementation,GET,"Forestry Department of Hainan Province, Dongzhaigang Nature Reserve",Government,PAS,Child,,,,BD-1; BD-1; ,,,,"117,523 ","117,523 ",,,,,"10,577 ",,"2,634,771 ","2,634,771 ",,"2,634,771 ","2,634,771 ","237,129 ",,"237,129 ","237,129 ","18,000,000 ",,"18,000,000 ","18,000,000 ",2-Feb-12,20-Mar-12,1-Jun-12,7-Jun-12,7-Jun-12,,22-Mar-13,,,,,,,,,,,,28-Jun-13,,N/A,,,,,,,,,,31-Dec-17,,,Submitted 2015 PIR,N/A,"Submitted, endorsement stage",N/A,N/A
M5,4646,4868,Err:512,Err:512,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF-MSL: Strengthening the Management Effectiveness of the Protected Area Network in the Daxing’anling Landscape,GEF - 5,FP,Under Implementation,GET,"State Forestry Administration of China (SFA), Heilongjiang Forestry Management Authority, Inner Mongolia Forestry Management Authority",Government,PAS,Child,,,,BD-1; BD-1; BD-1; ,,,,"125,046 ","125,046 ",,,,,"11,254 ",,"3,544,679 ","3,544,679 ",,"3,544,679 ","3,544,679 ","319,021 ",,"319,021 ","319,021 ","24,500,000 ",,"24,500,000 ","24,500,000 ",16-Mar-12,13-Apr-12,1-Jun-12,7-Jun-12,7-Jun-12,,30-May-13,,,,,,,,,,,,25-Sep-13,,N/A,,,,,,,,,,31-Dec-17,,,Submitted 2015 PIR,N/A,"Submitted, endorsement stage",N/A,N/A
M6,4646,4870,Err:512,Err:512,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF-MSL: Strengthening the Management Effectiveness of the Wetland Protected Area System in Hubei Province,GEF - 5,FP,Under Implementation,GET,Forestry Department of Hubei Province,Government,PAS,Child,,,,BD-1; BD-1; ,,,,"97,523 ","97,523 ",,,,,"8,777 ",,"2,654,771 ","2,654,771 ",,"2,654,771 ","2,654,771 ","238,929 ",,"238,929 ","238,929 ","18,158,634 ",,"18,158,634 ","18,158,634 ",16-Mar-12,13-Apr-12,1-Jun-12,7-Jun-12,7-Jun-12,,1-Aug-13,,,,,,,,,,,,17-Mar-14,,N/A,,,,,,,,,,31-Dec-17,,,Submitted 2015 PIR,N/A,"Submitted, endorsement stage",N/A,N/A
M7,4646,4896,Err:512,Err:512,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF-MSL: Strengthening the Management Effectiveness of the Wetland Protected Area System in Anhui Province,GEF - 5,FP,Under Implementation,GET,Forestry Department of Anhui Province   ,Government,PAS,Child,,,,BD-1; BD-1; ,,,,"97,523 ","97,523 ",,,,,"8,777 ",,"2,654,771 ","2,654,771 ",,"2,654,771 ","2,654,771 ","238,929 ",,"238,929 ","238,929 ","18,147,255 ",,"18,147,255 ","18,147,255 ",21-Mar-12,13-Apr-12,1-Jun-12,7-Jun-12,7-Jun-12,,23-Aug-13,,,,,,,,,,,,31-Dec-13,,N/A,,,,,,,,,,31-Dec-17,,,Submitted 2015 PIR,N/A,N/A,N/A,N/A
